"name","length","exp number of AAs in TMHs","exp number of AAs in TMHs in the first 60 AAs","predicted number of TMH","topology"
"YP_003734252.1","183","0.00","0.00","0","o"
"YP_003734253.1","92","0.00","0.00","0","o"
"YP_003734254.1","77","0.00","0.00","0","i"
"YP_003734255.1","98","0.67","0.56","0","o"
"YP_003734256.1","182","0.04","0.00","0","o"
"YP_003734257.1","105","0.00","0.00","0","i"
"YP_003734258.1","143","2.13","1.43","0","i"
"YP_003734259.1","100","0.00","0.00","0","o"
"YP_003734260.1","165","0.11","0.00","0","o"
"YP_003734261.1","189","0.00","0.00","0","o"
"YP_003734262.1","78","0.00","0.00","0","o"
"YP_003734263.1","202","44.13","0.74","2","i118-140o145-167i"
"YP_003734264.1","229","0.03","0.03","0","o"
"YP_003734265.1","96","0.01","0.00","0","i"
"YP_003734266.1","345","0.04","0.01","0","o"
"YP_003734267.1","79","0.00","0.00","0","o"
"YP_003734268.1","116","0.00","0.00","0","o"
"YP_003734269.1","80","0.00","0.00","0","o"
"YP_003734270.1","129","6.89","6.89","0","o"
"YP_003734271.1","67","0.20","0.17","0","o"
"YP_003734272.1","93","0.00","0.00","0","o"
"YP_003734273.1","97","0.00","0.00","0","o"
"YP_003734274.1","175","61.58","17.03","2","i76-98o113-135i"
"YP_003734275.1","181","0.00","0.00","0","o"
"YP_003734276.1","197","0.00","0.00","0","o"
"YP_003734277.1","133","0.00","0.00","0","o"
"YP_003734278.1","92","0.13","0.05","0","i"
"YP_003734279.1","206","0.00","0.00","0","o"
"YP_003734280.1","94","0.01","0.00","0","o"
"YP_003734281.1","134","0.00","0.00","0","o"
"YP_003734282.1","65","39.90","39.78","2","i13-32o36-58i"
"YP_003734283.1","92","0.00","0.00","0","i"
"YP_003734284.1","152","0.02","0.01","0","o"
"YP_003734285.1","78","0.00","0.00","0","i"
"YP_003734286.1","258","0.00","0.00","0","o"
"YP_003734287.1","254","0.00","0.00","0","o"
"YP_003734288.1","289","0.22","0.00","0","o"
"YP_003734289.1","173","0.00","0.00","0","o"
"YP_003734290.1","210","0.16","0.12","0","o"
"YP_003734291.1","580","0.16","0.02","0","o"
"YP_003734292.1","188","0.00","0.00","0","o"
"YP_003734293.1","114","0.01","0.01","0","o"
"YP_003734294.1","689","0.28","0.01","0","o"
"YP_003734295.1","1030","20.75","0.01","1","o880-902i"
"YP_003734296.1","335","0.00","0.00","0","o"
"YP_003734297.1","288","0.09","0.00","0","o"
"YP_003734298.1","604","0.00","0.00","0","o"
"YP_003734299.1","233","0.02","0.00","0","o"
"YP_003734300.1","510","0.01","0.00","0","o"
"YP_003734301.1","822","0.01","0.00","0","o"
"YP_003734302.1","310","0.10","0.00","0","o"
"YP_003734303.1","272","0.12","0.11","0","o"
"YP_003734304.1","296","0.01","0.01","0","o"
"YP_003734305.1","191","0.00","0.00","0","o"
"YP_003734306.1","611","0.18","0.00","0","o"
"YP_003734307.1","660","0.01","0.00","0","o"
"YP_003734308.1","167","0.00","0.00","0","o"
"YP_003734309.1","541","0.00","0.00","0","o"
"YP_003734310.1","89","0.00","0.00","0","o"
"YP_003734311.1","143","0.00","0.00","0","o"
"YP_003734312.1","211","0.02","0.02","0","o"
"YP_003734313.1","281","0.00","0.00","0","o"
"YP_003734314.1","522","0.04","0.00","0","o"
"YP_003734315.1","223","0.01","0.00","0","o"
"YP_003734316.1","93","0.00","0.00","0","i"
"YP_003734317.1","426","0.02","0.00","0","o"
"YP_003734318.1","427","0.03","0.00","0","o"
"YP_003734319.1","395","0.04","0.00","0","o"
"YP_003734320.1","335","0.00","0.00","0","o"
"YP_003734321.1","71","0.00","0.00","0","i"
"YP_003734322.1","288","1.71","1.69","0","o"
"YP_003734323.1","377","0.32","0.30","0","o"
"YP_003734324.1","240","0.02","0.00","0","o"
"YP_003734325.1","498","0.33","0.00","0","o"
"YP_003734326.1","75","0.00","0.00","0","o"
"YP_003734327.1","56","0.00","0.00","0","i"
"YP_003734328.1","157","0.00","0.00","0","o"
"YP_003734329.1","129","0.05","0.01","0","o"
"YP_003734330.1","214","0.01","0.00","0","o"
"YP_003734331.1","267","0.01","0.00","0","o"
"YP_003734332.1","389","0.02","0.00","0","o"
"YP_003734333.1","200","0.49","0.48","0","o"
"YP_003734334.1","578","12.60","0.00","0","o"
"YP_003734335.1","363","0.18","0.00","0","o"
"YP_003734336.1","319","0.12","0.03","0","o"
"YP_003734337.1","106","0.02","0.00","0","o"
"YP_003734338.1","708","0.00","0.00","0","o"
"YP_003734339.1","696","0.29","0.00","0","o"
"YP_003734340.1","78","0.21","0.21","0","o"
"YP_003734341.1","514","0.00","0.00","0","o"
"YP_003734342.1","217","0.01","0.00","0","o"
"YP_003734343.1","155","0.04","0.04","0","o"
"YP_003734344.1","75","0.00","0.00","0","o"
"YP_003734345.1","70","0.00","0.00","0","o"
"YP_003734346.1","73","0.29","0.29","0","o"
"YP_003734347.1","113","0.00","0.00","0","o"
"YP_003734348.1","125","0.02","0.01","0","o"
"YP_003734349.1","126","0.00","0.00","0","o"
"YP_003734350.1","53","0.00","0.00","0","i"
"YP_003734351.1","82","0.00","0.00","0","o"
"YP_003734352.1","119","0.00","0.00","0","o"
"YP_003734353.1","100","0.00","0.00","0","o"
"YP_003734354.1","78","0.00","0.00","0","o"
"YP_003734355.1","181","0.01","0.00","0","o"
"YP_003734356.1","78","0.00","0.00","0","o"
"YP_003734357.1","186","0.01","0.01","0","o"
"YP_003734358.1","99","0.48","0.09","0","o"
"YP_003734359.1","107","0.03","0.03","0","o"
"YP_003734360.1","75","0.00","0.00","0","o"
"YP_003734361.1","302","0.01","0.00","0","o"
"YP_003734362.1","99","0.00","0.00","0","o"
"YP_003734363.1","96","1.42","1.42","0","o"
"YP_003734364.1","117","18.49","18.49","1","o4-23i"
"YP_003734365.1","166","0.05","0.00","0","o"
"YP_003734366.1","382","0.12","0.00","0","o"
"YP_003734367.1","145","0.08","0.08","0","o"
"YP_003734368.1","389","2.94","1.32","0","o"
"YP_003734369.1","755","0.05","0.00","0","o"
"YP_003734370.1","55","0.02","0.02","0","o"
"YP_003734371.1","289","3.47","0.01","0","o"
"YP_003734372.1","266","6.86","6.67","0","o"
"YP_003734373.1","88","0.00","0.00","0","i"
"YP_003734374.1","81","0.00","0.00","0","i"
"YP_003734375.1","109","1.07","0.05","0","o"
"YP_003734376.1","130","0.00","0.00","0","o"
"YP_003734377.1","301","0.01","0.00","0","o"
"YP_003734378.1","217","0.22","0.02","0","o"
"YP_003734379.1","100","0.00","0.00","0","o"
"YP_003734380.1","97","0.00","0.00","0","o"
"YP_003734381.1","327","0.04","0.02","0","o"
"YP_003734382.1","1299","0.01","0.00","0","o"
"YP_003734383.1","378","0.17","0.00","0","o"
"YP_003734384.1","221","0.01","0.01","0","o"
"YP_003734385.1","1289","0.00","0.00","0","o"
"YP_003734386.1","263","0.04","0.00","0","o"
"YP_003734387.1","224","24.54","19.90","1","i36-55o"
"YP_003734388.1","96","0.12","0.12","0","o"
"YP_003734389.1","80","0.00","0.00","0","o"
"YP_003734390.1","93","0.00","0.00","0","o"
"YP_003734391.1","162","0.00","0.00","0","o"
"YP_003734392.1","115","0.01","0.01","0","o"
"YP_003734393.1","115","0.15","0.07","0","o"
"YP_003734394.1","235","0.00","0.00","0","o"
"YP_003734395.1","77","0.00","0.00","0","i"
"YP_003734396.1","460","0.47","0.00","0","o"
"YP_003734397.1","46","24.28","24.28","1","i12-34o"
"YP_003734398.1","151","0.98","0.01","0","i"
"YP_003734399.1","84","0.00","0.00","0","o"
"YP_003734400.1","108","0.00","0.00","0","o"
"YP_003734401.1","200","0.94","0.93","0","o"
"YP_003734402.1","66","0.05","0.05","0","o"
"YP_003734403.1","344","0.00","0.00","0","o"
"YP_003773384.1","909","0.11","0.03","0","o"
"YP_003773385.1","242","6.66","3.45","0","o"
"YP_003773386.1","139","0.00","0.00","0","o"
"YP_003773387.1","506","0.15","0.01","0","o"
"YP_003773388.1","186","0.21","0.00","0","o"
"YP_003773389.1","118","0.20","0.09","0","o"
"YP_003773390.1","122","0.06","0.00","0","o"
"YP_003773391.1","420","0.03","0.00","0","o"
"YP_003773392.1","117","0.02","0.01","0","i"
"YP_003773393.1","1767","119.98","22.74","5","o20-42i69-91o1688-1710i1717-1739o1743-1762i"
"YP_003773394.1","263","57.93","25.36","2","i5-27o232-254i"
"YP_003773395.1","139","0.02","0.02","0","o"
"YP_003773396.1","190","44.95","29.71","2","i5-27o53-75i"
"YP_003773397.1","173","0.25","0.15","0","o"
"YP_003773398.1","93","0.00","0.00","0","i"
"YP_003773399.1","66","0.00","0.00","0","i"
"YP_003773400.1","123","0.00","0.00","0","i"
"YP_003773401.1","156","0.20","0.00","0","o"
"YP_003773402.1","284","0.10","0.03","0","o"
"YP_003773403.1","102","0.01","0.00","0","o"
"YP_003773404.1","140","0.00","0.00","0","o"
"YP_003773405.1","174","0.00","0.00","0","o"
"YP_003773406.1","99","0.00","0.00","0","o"
"YP_003773407.1","68","0.00","0.00","0","i"
"YP_003773408.1","159","4.62","0.01","0","o"
"YP_003773409.1","114","0.00","0.00","0","o"
"YP_003773410.1","117","0.01","0.01","0","o"
"YP_003773411.1","253","0.01","0.01","0","o"
"YP_003773412.1","50","22.10","22.10","1","i13-35o"
"YP_003773413.1","181","34.01","0.03","2","i97-114o119-141i"
"YP_003773414.1","141","0.16","0.01","0","o"
"YP_003773415.1","94","5.45","3.84","0","i"
"YP_003773416.1","218","0.26","0.03","0","o"
"YP_003773417.1","316","0.74","0.07","0","o"
"YP_003773418.1","78","0.06","0.06","0","o"
"YP_003773419.1","170","0.07","0.00","0","o"
"YP_003773420.1","130","0.00","0.00","0","o"
"YP_003773421.1","157","3.28","0.75","0","o"
"YP_003773422.1","62","23.22","23.22","1","o23-45i"
"YP_003773423.1","55","0.00","0.00","0","i"
"YP_003773424.1","123","0.05","0.05","0","o"
"YP_003773425.1","64","0.02","0.02","0","i"
"YP_003773426.1","303","54.45","0.19","2","i130-152o162-184i"
"YP_003773427.1","585","1.49","1.07","0","o"
"YP_003773428.1","220","6.31","0.65","0","o"
"YP_003773429.1","276","2.26","0.00","0","o"
"YP_003773430.1","251","0.06","0.00","0","o"
"YP_003773431.1","116","63.66","42.97","3","o10-27i32-54o59-81i"
"YP_003773432.1","325","0.51","0.04","0","o"
"YP_003773433.1","80","0.00","0.00","0","o"
"YP_003773434.1","79","43.93","41.34","2","i7-29o42-64i"
"YP_003773435.1","145","48.65","27.08","2","i20-42o62-84i"
"YP_003773436.1","152","0.00","0.00","0","o"
"YP_003773437.1","81","48.74","32.37","2","i21-43o58-77i"
"YP_003773438.1","96","13.04","4.27","0","o"
"YP_003778174.1","125","6.28","6.28","0","i"
"YP_003778175.1","276","0.03","0.00","0","o"
"YP_003778179.1","85","0.01","0.01","0","o"
"YP_003778178.1","371","0.00","0.00","0","o"
"YP_003778177.1","141","0.00","0.00","0","o"
"YP_003778176.1","140","22.28","0.00","1","i94-116o"
"YP_003799993.1","427","0.04","0.03","0","o"
"YP_003799994.1","578","0.02","0.01","0","o"
"YP_003799995.1","435","0.13","0.00","0","o"
"YP_003799996.1","804","0.06","0.03","0","o"
"YP_003799997.1","219","0.00","0.00","0","o"
"YP_003799998.1","671","0.00","0.00","0","o"
"YP_003799999.1","542","0.06","0.06","0","o"
"YP_003800004.1","312","13.74","0.26","0","o"
"YP_003800005.1","194","2.89","0.32","0","i"
"YP_003800006.1","375","0.09","0.00","0","o"
"YP_003800008.1","198","0.25","0.00","0","o"
"YP_003800007.1","697","1.00","0.00","0","o"
"YP_003828902.1","314","2.29","2.29","0","o"
"YP_003828903.1","139","3.43","0.26","0","o"
"YP_003853285.1","2428","51.28","0.00","2","o1190-1212i1691-1713o"
"YP_003853288.1","173","0.01","0.00","0","o"
"YP_003853289.1","308","0.14","0.00","0","o"
"YP_003853290.1","232","2.80","0.38","0","o"
"YP_003853291.1","248","0.16","0.01","0","o"
"YP_003853292.1","129","15.22","0.00","0","o"
"YP_003853293.1","188","27.56","0.00","1","o100-122i"
"YP_003853294.1","349","0.01","0.00","0","o"
"YP_003853295.1","95","22.50","0.00","1","o63-85i"
"YP_003853296.1","42","0.03","0.03","0","o"
"YP_003853297.1","189","1.00","0.00","0","o"
"YP_003853298.1","475","0.03","0.00","0","o"
"YP_003853286.1","2255","26.96","0.15","0","o"
"YP_003853299.1","53","0.38","0.38","0","i"
"YP_003853300.1","330","0.21","0.00","0","o"
"YP_003853301.1","224","2.49","0.05","0","o"
"YP_003853302.1","246","0.25","0.00","0","o"
"YP_003853303.1","122","0.06","0.00","0","o"
"YP_003853304.1","166","23.02","0.07","1","i88-110o"
"YP_003853305.1","330","0.23","0.01","0","o"
"YP_003853306.1","91","18.59","14.27","1","i46-64o"
"YP_003853307.1","28","0.00","0.00","0","i"
"YP_003853308.1","195","0.29","0.07","0","o"
"YP_003853309.1","470","0.21","0.00","0","o"
"YP_003853287.1","2258","45.89","0.00","2","o1077-1099i1523-1545o"
"YP_003853310.1","64","0.00","0.00","0","o"
"YP_003853311.1","334","0.06","0.00","0","o"
"YP_003853312.1","224","0.65","0.00","0","o"
"YP_003853313.1","248","0.96","0.00","0","o"
"YP_003853314.1","119","0.34","0.01","0","o"
"YP_003853315.1","162","23.28","0.09","1","i88-110o"
"YP_003853316.1","330","0.22","0.02","0","o"
"YP_003853317.1","84","23.30","19.15","1","i42-64o"
"YP_003853318.1","28","0.00","0.00","0","o"
"YP_003853319.1","195","7.15","0.79","0","o"
"YP_003853320.1","470","0.02","0.00","0","o"
"YP_003856794.1","192","0.06","0.00","0","i"
"YP_003856795.1","472","0.01","0.00","0","o"
"YP_003856796.1","110","0.00","0.00","0","i"
"YP_003856797.1","529","0.02","0.00","0","o"
"YP_003856798.1","98","0.01","0.01","0","o"
"YP_003856799.1","342","0.00","0.00","0","o"
"YP_003856800.1","132","20.12","19.53","1","i7-29o"
"YP_003856801.1","129","0.00","0.00","0","o"
"YP_003856802.1","64","0.02","0.02","0","o"
"YP_003856803.1","219","0.00","0.00","0","o"
"YP_003856804.1","132","0.25","0.00","0","o"
"YP_003856805.1","346","0.01","0.00","0","o"
"YP_003856806.1","61","0.00","0.00","0","i"
"YP_003856807.1","103","0.00","0.00","0","o"
"YP_003856808.1","123","0.00","0.00","0","i"
"YP_003856809.1","117","0.00","0.00","0","o"
"YP_003856810.1","114","0.03","0.02","0","o"
"YP_003856811.1","200","0.00","0.00","0","o"
"YP_003856812.1","302","0.34","0.31","0","o"
"YP_003856813.1","156","0.13","0.11","0","o"
"YP_003856814.1","89","0.01","0.01","0","i"
"YP_003856815.1","1029","169.86","0.10","8","o390-412i448-470o485-507i520-539o543-565i572-594o609-631i652-671o"
"YP_003856816.1","278","0.04","0.00","0","o"
"YP_003856817.1","84","0.02","0.02","0","o"
"YP_003856818.1","129","0.02","0.01","0","i"
"YP_003856819.1","996","0.20","0.00","0","o"
"YP_003856820.1","665","1.96","0.01","0","o"
"YP_003856821.1","146","36.36","29.44","1","i7-29o"
"YP_003856822.1","274","4.06","1.18","0","o"
"YP_003856823.1","139","21.67","21.67","1","o4-26i"
"YP_003856824.1","132","5.37","5.35","0","i"
"YP_003856825.1","215","0.00","0.00","0","o"
"YP_003856826.1","570","20.81","0.00","1","o474-496i"
"YP_003856827.1","88","0.00","0.00","0","i"
"YP_003856828.1","112","0.00","0.00","0","o"
"YP_003856829.1","68","0.00","0.00","0","i"
"YP_003856830.1","67","0.00","0.00","0","i"
"YP_003856831.1","306","1.30","0.96","0","o"
"YP_003856832.1","244","0.09","0.03","0","o"
"YP_003856833.1","444","0.02","0.00","0","o"
"YP_003856834.1","46","24.40","24.40","1","i13-35o"
"YP_003856835.1","337","0.04","0.00","0","o"
"YP_003856836.1","208","0.83","0.67","0","o"
"YP_003856837.1","71","0.01","0.01","0","i"
"YP_003856838.1","74","0.01","0.01","0","o"
"YP_003856839.1","586","0.22","0.00","0","o"
"YP_003856840.1","148","0.00","0.00","0","o"
"YP_003856841.1","207","0.06","0.06","0","o"
"YP_003856842.1","765","0.01","0.00","0","o"
"YP_003856843.1","203","0.39","0.00","0","o"
"YP_003856844.1","299","0.13","0.01","0","o"
"YP_003856845.1","171","0.00","0.00","0","o"
"YP_003856846.1","351","0.00","0.00","0","o"
"YP_003856847.1","258","0.33","0.00","0","o"
"YP_003856848.1","156","0.16","0.11","0","o"
"YP_003856849.1","167","0.00","0.00","0","o"
"YP_003856850.1","125","0.00","0.00","0","o"
"YP_003856851.1","174","0.00","0.00","0","o"
"YP_003856852.1","48","0.00","0.00","0","i"
"YP_003856853.1","118","0.01","0.01","0","o"
"YP_003856854.1","178","1.28","0.60","0","o"
"YP_003856855.1","112","0.04","0.00","0","i"
"YP_003856856.1","353","4.76","4.72","0","o"
"YP_003856857.1","83","0.01","0.00","0","i"
"YP_003856858.1","364","2.76","0.38","0","o"
"YP_003856859.1","280","0.31","0.01","0","o"
"YP_003856860.1","302","0.05","0.01","0","o"
"YP_003856861.1","222","0.12","0.00","0","o"
"YP_003856862.1","83","0.18","0.13","0","o"
"YP_003856863.1","77","0.01","0.01","0","i"
"YP_003856864.1","394","0.03","0.02","0","o"
"YP_003856865.1","73","0.09","0.09","0","i"
"YP_003856866.1","132","0.02","0.02","0","o"
"YP_003856867.1","217","0.00","0.00","0","o"
"YP_003856868.1","81","0.19","0.19","0","i"
"YP_003856869.1","53","0.00","0.00","0","o"
"YP_003856870.1","215","0.63","0.04","0","o"
"YP_003856871.1","96","0.01","0.01","0","o"
"YP_003856872.1","75","0.00","0.00","0","o"
"YP_003856873.1","44","22.84","22.84","1","i21-43o"
"YP_003856874.1","116","2.65","1.64","0","i"
"YP_003856875.1","33","22.63","22.63","1","i7-29o"
"YP_003856876.1","83","0.00","0.00","0","i"
"YP_003856877.1","91","0.00","0.00","0","o"
"YP_003856878.1","28","21.80","21.80","1","o4-26i"
"YP_003856879.1","110","0.01","0.01","0","o"
"YP_003856880.1","72","0.01","0.01","0","o"
"YP_003856881.1","61","0.13","0.13","0","o"
"YP_003856882.1","84","0.00","0.00","0","o"
"YP_003856883.1","72","16.63","16.63","1","o27-49i"
"YP_003856884.1","66","0.00","0.00","0","o"
"YP_003856885.1","75","0.00","0.00","0","i"
"YP_003856886.1","473","13.13","0.00","0","o"
"YP_003856887.1","517","0.01","0.00","0","o"
"YP_003856888.1","835","0.01","0.01","0","o"
"YP_003856889.1","61","0.01","0.01","0","i"
"YP_003856890.1","177","0.00","0.00","0","o"
"YP_003856891.1","312","0.08","0.00","0","o"
"YP_003856892.1","128","0.02","0.00","0","o"
